id,age,job,marital,education,default_status,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,outcome,target
1,58,management,married,tertiary,no,2143.00,yes,no,unknown,5,may,261,1,-1,0,unknown,no
2,44,technician,single,secondary,no,29.00,yes,no,unknown,5,may,151,1,-1,0,unknown,no
3,33,entrepreneur,married,secondary,no,2.00,yes,yes,unknown,5,may,76,1,-1,0,unknown,no
4,47,blue-collar,married,unknown,no,1506.00,yes,no,unknown,5,may,92,1,-1,0,unknown,no
5,33,unknown,single,unknown,no,1.00,no,no,unknown,5,may,198,1,-1,0,unknown,no
6,35,management,married,tertiary,no,231.00,yes,no,unknown,5,may,139,1,-1,0,unknown,no
7,28,management,single,tertiary,no,447.00,yes,yes,unknown,5,may,217,1,-1,0,unknown,no
8,42,entrepreneur,divorced,tertiary,yes,2.00,yes,no,unknown,5,may,380,1,-1,0,unknown,no
9,58,retired,married,primary,no,121.00,yes,no,unknown,5,may,50,1,-1,0,unknown,no
10,43,technician,single,secondary,no,593.00,yes,no,unknown,5,may,55,1,-1,0,unknown,no
11,41,admin,divorced,secondary,no,270.00,yes,no,unknown,5,may,222,1,-1,0,unknown,no
12,29,admin,single,secondary,no,390.00,yes,no,unknown,5,may,137,1,-1,0,unknown,no
13,53,technician,married,secondary,no,6.00,yes,no,unknown,5,may,517,1,-1,0,unknown,no
14,58,technician,married,unknown,no,71.00,yes,no,unknown,5,may,71,1,-1,0,unknown,no
15,57,services,married,secondary,no,162.00,yes,no,unknown,5,may,174,1,-1,0,unknown,no
16,51,retired,married,primary,no,229.00,yes,no,unknown,5,may,353,1,-1,0,unknown,no
17,45,admin,single,unknown,no,13.00,yes,no,unknown,5,may,98,1,-1,0,unknown,no
18,57,blue-collar,married,primary,no,52.00,yes,no,unknown,5,may,38,1,-1,0,unknown,no
19,60,retired,married,primary,no,60.00,yes,no,unknown,5,may,219,1,-1,0,unknown,no
20,33,services,married,secondary,no,0.00,yes,no,unknown,5,may,54,1,-1,0,unknown,no
21,28,blue-collar,married,secondary,no,723.00,yes,yes,unknown,5,may,262,1,-1,0,unknown,no
22,56,management,married,tertiary,no,779.00,yes,no,unknown,5,may,164,1,-1,0,unknown,no
23,32,blue-collar,single,primary,no,23.00,yes,yes,unknown,5,may,160,1,-1,0,unknown,no
24,25,services,married,secondary,no,50.00,yes,no,unknown,5,may,342,1,-1,0,unknown,no
